"test","BV_num","BV_num_LL","BV_num_UL","BY_num","BY_num_LL","BY_num_UL","date","BV_num_roll","BV_num_roll_LL","BV_num_roll_UL","BY_num_roll","BY_num_roll_LL","BY_num_roll_UL","test_roll","diff"
48572,2151.96536796537,602.280612798715,3651.62170374539,1660.03463203463,160.378296254606,3209.71938720129,2011-02-21,2179.70015337174,699.250966893266,3556.02086095315,1574.29984662826,197.979139046847,3054.74903310673,51215.8,7
48593,1683.75530204572,399.263223895928,2972.34166556579,1569.24469795427,280.658334434208,2853.73677610407,2011-02-28,1823.46693631102,541.700504954828,3044.42532465362,1438.93306368898,217.974675346383,2720.69949504517,47419.8,7
41278,1405.22683982684,362.937484364012,2399.52976478215,1216.77316017316,222.470235217847,2259.06251563599,2011-03-07,1481.60323976574,392.127234157713,2545.79768479944,1276.59676023426,212.40231520056,2366.07276584229,42523.8,7
39527,1245.30328282828,338.996917262044,2123.80344004041,1091.69671717172,213.196559959587,1998.00308273796,2011-03-14,1194.39283283933,309.725659714748,2064.46056054398,1087.80716716067,217.739439456019,1972.47434028525,38875,7
34649,921.765406162465,257.157932467868,1581.69184986345,845.234593837535,185.308150136554,1509.84206753213,2011-03-21,981.181772430184,263.464784511346,1681.69390531713,880.618227569816,180.10609468287,1598.33521548865,34508.6,7
30328,715.913333333333,190.272740583887,1244.9360824681,716.086666666667,187.063917531899,1241.72725941611,2011-03-28,788.840269199116,210.502651714681,1358.44336686423,726.959730800884,157.356633135767,1305.29734828532,31105.4,7
26761,617.7,167.95884787892,1058.50838943153,533.3,92.4916105684657,983.04115212108,2011-04-04,610.220789104048,168.847521109252,1047.22292532913,561.579210895952,124.57707467087,1002.95247889075,27256,7
24262,443.519323671498,98.1268203806867,783.277072517672,448.480676328502,108.722927482328,793.873179619313,2011-04-11,480.484374538221,132.590663894403,822.96196835337,433.715625461779,91.2380316466296,781.609336105597,24223.4,7
20280,352.205882352941,130.721264234897,567.701232364896,264.794117647059,49.2987676351039,486.278735765102,2011-04-18,378.726707871555,113.202947635622,636.273914462068,312.873292128445,55.3260855379316,578.397052364378,21528,7
19486,273.083333333333,75.8736463936222,460.387064984649,205.916666666667,18.6129350153514,403.126353606378,2011-04-25,294.853374538221,102.999450417396,478.633897890851,221.746625461779,37.9661021091488,413.600549582604,19606.2,7
16851,207.125,93.3341592899819,311.495813011591,111.875,7.50418698840938,225.665840710018,2011-05-02,239.639033613445,102.716491619775,368.162545398589,145.760966386555,17.2374546014107,282.683508380225,18209,7
17152,198.333333333333,116.941361787792,270.308306575448,77.6666666666667,5.6916934245518,159.058638212208,2011-05-09,196.997857142857,90.111073360805,295.375345041321,106.802142857143,8.42465495867916,213.688926639195,17423.2,7
17276,167.447619047619,96.71202639258,230.920310056363,68.552380952381,5.07968994363684,139.28797360742,2011-05-16,162.594523809524,82.8066877996608,233.79363873267,76.4054761904762,5.20636126732939,156.193312200339,16638.6,7
16351,139,67.6941729400489,203.765230578554,70,5.23476942144636,141.305827059951,2011-05-23,138.947301587302,68.5088654846729,202.034710669434,67.4526984126984,4.3652893305654,137.891134515327,16516,7
15563,101.066666666667,39.3517185879015,152.478533441397,53.9333333333333,2.52146655860253,115.648281412099,2011-05-30,117.069920634921,51.0363132595219,178.274796727153,67.9300793650793,6.72520327284726,133.963686740478,16171.2,7
16238,88.8888888888889,21.8450477150421,152.701172695411,67.1111111111111,3.29882730458942,134.154952284958,2011-06-06,100.676550671551,38.3575020399037,158.054416225727,63.5234493284493,6.14558377427321,125.842497960096,15720.2,7
15428,88.9464285714286,29.5786006620365,151.508736864039,80.0535714285714,17.4912631359611,139.421399337963,2011-06-13,85.6955982905984,29.8377774501961,136.771737544831,56.5044017094017,5.42826245516877,112.362222549804,15304.6,7
15021,85.4807692307692,33.3179702944894,129.818407549233,46.5192307692308,2.18159245076659,98.6820297055106,2011-06-20,85.3155982905984,31.5271310573637,135.031885316131,55.0844017094017,5.36811468386902,108.872868942636,15091.2,7
14273,64.0952380952381,25.0955499915109,97.3518371740758,34.9047619047619,1.64816282592413,73.9044500084891,2011-06-27,85.891153846154,34.9393941457213,132.332744903541,52.5088461538461,6.06725509645849,103.460605854279,14824,7
14496,99.1666666666667,47.7984866237391,143.779272297896,46.8333333333333,2.22072770210378,98.2015133762609,2011-07-04,89.0418681318683,37.3664459865482,134.449939917059,49.3581318681318,3.95006008294122,101.033554013452,14551.4,7
14902,91.7666666666667,38.90636315683,139.205470632463,54.2333333333333,6.7945293675368,107.09363684317,2011-07-11,89.5890476190478,34.1537755749436,139.59267252877,54.2109523809523,4.20732747122996,109.646224425056,14117.8,7
14065,104.7,41.7138598661713,162.094711931625,64.3,6.90528806837479,127.286140133829,2011-07-18,99.6152214452216,37.4535254167402,156.699593036733,63.7847785547785,6.7004069632668,125.94647458326,14034,7
12853,88.2166666666667,17.2546182364665,155.53207060779,70.7833333333333,3.4679293922103,141.745381763533,2011-07-25,100.65006993007,34.0887482993872,163.389538122496,74.54993006993,11.8104618775037,141.111251700613,13826,7
