year_month,region,climate,epoch,antigen_drift,inter_air_traffic,intra_air_traffic,total_air_traffic,persistence
2018-12,Russia,most-other,pre,0.179827219,0.61172206,0.528291123,0.633529297,0.227072566
2018-12,Western Asia,most-other,pre,0.19186573,0.735983471,0.869805997,0.823483064,0.436767007
2018-12,China,most-other,pre,0.219388754,0.859402556,0.845145455,0.878063617,0.357046046
2018-12,Southern America,most-tropical,pre,0.212956069,0.989692796,0.95839817,0.962586731,0.381076563
2018-12,Africa,most-tropical,pre,0.228931397,0.769794802,0.908920388,0.851058233,0.285050817
2019-01,Oceania,most-tropical,pre,0.201114914,0.971793669,0.950309338,0.986615151,0.161207102
2019-01,South-eastern Asia,most-tropical,pre,0.186721657,0.929695219,0.917639139,0.92190334,0.25591452
2019-01,Europe,most-other,pre,0.188773644,0.689025054,0.683335156,0.6873635,0.179020722
2019-01,Southern Asia,most-tropical,pre,0.160366993,0.9875858,0.919698501,0.960426428,0.377916564
2019-01,Northern America,most-other,pre,0.279740233,0.748909083,0.77303825,0.778790886,0.216191739
2019-01,Japan/Korea,most-other,pre,0.189071034,0.866517785,0.912112028,0.922346181,0.41532342
2019-01,Russia,most-other,pre,0.163022727,0.648049937,0.517385713,0.635109129,0.294443613
2019-01,Western Asia,most-other,pre,0.181016209,0.716761854,0.903657238,0.830213443,0.457172813
2019-01,China,most-other,pre,0.203553189,0.877994648,0.881853369,0.913406198,0.534867875
2019-01,Southern America,most-tropical,pre,0.177941566,1,0.984851908,0.987496998,0.297530283
2019-01,Africa,most-tropical,pre,0.170335212,0.767424245,0.888398235,0.83953575,0.264004461
2019-02,Oceania,most-tropical,pre,0.201114914,0.888157874,0.872454708,0.904866057,0.13170887
2019-02,South-eastern Asia,most-tropical,pre,0.186721657,0.869076524,0.839696566,0.848580629,0.211636109
2019-02,Europe,most-other,pre,0.188773644,0.629098468,0.650517645,0.648904205,0.173665401
2019-02,Southern Asia,most-tropical,pre,0.160366993,0.892649998,0.821448012,0.860654842,0.194708014
2019-02,Northern America,most-other,pre,0.279740233,0.647289041,0.750261071,0.747287936,0.20773538
2019-02,Japan/Korea,most-other,pre,0.189071034,0.817349179,0.823370571,0.845509931,0.478529205
2019-02,Russia,most-other,pre,0.163022727,0.540886174,0.467631333,0.560607233,0.337888286
2019-02,Western Asia,most-other,pre,0.181016209,0.653957104,0.810739008,0.750610501,0.404714108
2019-02,China,most-other,pre,0.203553189,0.867036246,0.831654688,0.867232914,0.657108462
2019-02,Southern America,most-tropical,pre,0.177941566,0.857768996,0.847860375,0.849832023,0.325122936
2019-02,Africa,most-tropical,pre,0.170335212,0.681619803,0.811574401,0.756972813,0.297131555
