,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"b_z[Northern America, 2018, pos]",-0.002,1.023,-1.615,1.753,0.008,0.014,17571.0,5178.0,1.0
"b_z[Northern America, 2019, pre]",-0.336,0.371,-0.964,0.249,0.004,0.004,9065.0,4926.0,1.0
"b_z[Northern America, 2019, pan]",-0.002,0.986,-1.625,1.613,0.007,0.012,19069.0,6207.0,1.0
"b_z[Northern America, 2019, pos]",0.009,0.98,-1.604,1.625,0.007,0.012,17527.0,6225.0,1.0
"b_z[Northern America, 2020, pre]",-0.659,0.322,-1.203,-0.154,0.004,0.003,5914.0,5155.0,1.0
"b_z[Northern America, 2020, pan]",-0.123,0.183,-0.429,0.172,0.003,0.002,3180.0,4923.0,1.0
"b_z[Northern America, 2020, pos]",-0.006,0.997,-1.645,1.684,0.007,0.013,18443.0,5462.0,1.0
"b_z[Northern America, 2021, pre]",0.005,0.979,-1.598,1.609,0.008,0.013,16699.0,5976.0,1.0
"b_z[Northern America, 2021, pan]",-1.174,0.294,-1.628,-0.664,0.004,0.003,4273.0,6218.0,1.0
"b_z[Northern America, 2021, pos]",-0.629,0.448,-1.356,0.113,0.005,0.004,8321.0,6010.0,1.0
"b_z[Northern America, 2022, pre]",-0.004,0.994,-1.731,1.581,0.007,0.013,18646.0,5712.0,1.0
"b_z[Northern America, 2022, pan]",0.001,0.976,-1.546,1.676,0.008,0.012,16816.0,6056.0,1.0
"b_z[Northern America, 2022, pos]",0.714,0.487,-0.111,1.491,0.005,0.004,11618.0,5211.0,1.0
"b_z[Northern America, 2023, pre]",-0.002,0.987,-1.604,1.626,0.007,0.012,17795.0,6028.0,1.0
"b_z[Northern America, 2023, pan]",-0.014,1.009,-1.755,1.596,0.008,0.013,16066.0,5558.0,1.0
"b_z[Northern America, 2023, pos]",0.379,0.749,-0.875,1.626,0.006,0.007,14174.0,6535.0,1.0
"b_z[Southern Asia, 2017, pre]",0.028,0.325,-0.48,0.592,0.004,0.004,6134.0,5797.0,1.0
"b_z[Southern Asia, 2017, pan]",-0.004,0.978,-1.596,1.58,0.007,0.013,17125.0,5665.0,1.0
"b_z[Southern Asia, 2017, pos]",0.003,0.985,-1.607,1.631,0.007,0.013,17889.0,5920.0,1.0
"b_z[Southern Asia, 2018, pre]",-0.163,0.356,-0.739,0.435,0.004,0.004,7229.0,6397.0,1.0
"b_z[Southern Asia, 2018, pan]",-0.023,1.0,-1.642,1.717,0.007,0.013,20502.0,5831.0,1.0
"b_z[Southern Asia, 2018, pos]",0.001,1.002,-1.754,1.601,0.008,0.013,16922.0,5871.0,1.0
"b_z[Southern Asia, 2019, pre]",0.107,0.252,-0.29,0.529,0.003,0.003,5560.0,5078.0,1.0
"b_z[Southern Asia, 2019, pan]",-0.004,0.995,-1.659,1.602,0.007,0.013,17866.0,5556.0,1.0
"b_z[Southern Asia, 2019, pos]",-0.009,1.0,-1.618,1.698,0.007,0.013,18629.0,5789.0,1.0
"b_z[Southern Asia, 2020, pre]",0.003,0.978,-1.593,1.628,0.007,0.013,17363.0,5319.0,1.0
"b_z[Southern Asia, 2020, pan]",0.249,0.171,-0.03,0.528,0.003,0.002,2685.0,5031.0,1.0
