,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"c[China, 2018, pos]",0.488,0.528,-0.416,1.321,0.004,0.005,18191.0,5728.0,1.0
"c[China, 2019, pre]",-0.788,0.114,-0.988,-0.612,0.001,0.001,9646.0,6324.0,1.0
"c[China, 2019, pan]",0.485,0.537,-0.394,1.353,0.004,0.005,18029.0,5461.0,1.0
"c[China, 2019, pos]",0.487,0.536,-0.391,1.373,0.004,0.005,15744.0,5288.0,1.0
"c[China, 2020, pre]",0.792,0.247,0.37,1.179,0.002,0.002,15967.0,6266.0,1.0
"c[China, 2020, pan]",0.442,0.099,0.284,0.609,0.001,0.001,13273.0,6307.0,1.0
"c[China, 2020, pos]",0.482,0.526,-0.366,1.353,0.004,0.005,16811.0,5979.0,1.0
"c[China, 2021, pre]",0.487,0.524,-0.346,1.345,0.005,0.005,13584.0,5134.0,1.0
"c[China, 2021, pan]",0.29,0.126,0.082,0.499,0.001,0.001,12322.0,6244.0,1.0
"c[China, 2021, pos]",0.206,0.152,-0.044,0.452,0.002,0.001,9797.0,6891.0,1.0
"c[China, 2022, pre]",0.488,0.52,-0.349,1.353,0.004,0.005,16252.0,5954.0,1.0
"c[China, 2022, pan]",0.485,0.531,-0.404,1.355,0.004,0.005,15966.0,5693.0,1.0
"c[China, 2022, pos]",1.798,0.142,1.578,2.045,0.001,0.001,13674.0,6221.0,1.0
"c[China, 2023, pre]",0.484,0.519,-0.397,1.294,0.004,0.005,13907.0,5373.0,1.0
"c[China, 2023, pan]",0.479,0.533,-0.394,1.354,0.004,0.005,15780.0,5464.0,1.0
"c[China, 2023, pos]",-0.158,0.226,-0.52,0.222,0.002,0.002,15266.0,5810.0,1.0
"c[Western Asia, 2017, pre]",0.82,0.231,0.452,1.209,0.002,0.002,12255.0,6753.0,1.0
"c[Western Asia, 2017, pan]",0.488,0.539,-0.406,1.355,0.004,0.005,15069.0,4810.0,1.0
"c[Western Asia, 2017, pos]",0.49,0.534,-0.364,1.384,0.004,0.005,15355.0,5055.0,1.0
"c[Western Asia, 2018, pre]",0.899,0.236,0.511,1.282,0.002,0.002,10675.0,6400.0,1.0
"c[Western Asia, 2018, pan]",0.487,0.539,-0.414,1.37,0.004,0.005,15076.0,5622.0,1.0
"c[Western Asia, 2018, pos]",0.49,0.53,-0.374,1.363,0.004,0.005,16004.0,5584.0,1.0
"c[Western Asia, 2019, pre]",0.281,0.187,-0.043,0.572,0.002,0.001,10365.0,6388.0,1.0
"c[Western Asia, 2019, pan]",0.485,0.534,-0.395,1.367,0.004,0.005,15523.0,5929.0,1.0
"c[Western Asia, 2019, pos]",0.484,0.54,-0.377,1.385,0.004,0.005,14534.0,5110.0,1.0
"c[Western Asia, 2020, pre]",0.855,0.411,0.15,1.518,0.004,0.003,9385.0,6481.0,1.0
"c[Western Asia, 2020, pan]",0.33,0.117,0.14,0.521,0.001,0.001,15216.0,6039.0,1.0
"c[Western Asia, 2020, pos]",0.488,0.54,-0.393,1.361,0.004,0.005,14842.0,5765.0,1.0
"c[Western Asia, 2021, pre]",0.485,0.537,-0.381,1.392,0.004,0.005,16477.0,5144.0,1.0
"c[Western Asia, 2021, pan]",0.495,0.291,0.045,0.996,0.003,0.002,12706.0,5815.0,1.0
"c[Western Asia, 2021, pos]",0.287,0.162,0.031,0.559,0.001,0.001,16905.0,5943.0,1.0
"c[Western Asia, 2022, pre]",0.483,0.531,-0.403,1.345,0.004,0.005,15666.0,5435.0,1.0
"c[Western Asia, 2022, pan]",0.485,0.534,-0.38,1.366,0.004,0.005,15582.0,5041.0,1.0
"c[Western Asia, 2022, pos]",0.006,0.18,-0.294,0.296,0.001,0.002,15327.0,5864.0,1.0
"c[Western Asia, 2023, pre]",0.489,0.518,-0.352,1.343,0.004,0.005,14657.0,4831.0,1.0
"c[Western Asia, 2023, pan]",0.488,0.535,-0.392,1.363,0.004,0.005,15544.0,5673.0,1.0
"c[Western Asia, 2023, pos]",0.636,0.307,0.128,1.143,0.003,0.002,10224.0,6064.0,1.0
"c[Russia, 2017, pre]",0.387,0.215,0.04,0.743,0.002,0.001,17380.0,5643.0,1.0
"c[Russia, 2017, pan]",0.485,0.525,-0.414,1.318,0.004,0.005,14586.0,5495.0,1.0
"c[Russia, 2017, pos]",0.481,0.534,-0.373,1.382,0.004,0.005,17856.0,5257.0,1.0
"c[Russia, 2018, pre]",0.402,0.164,0.127,0.666,0.001,0.001,17772.0,5704.0,1.0
"c[Russia, 2018, pan]",0.486,0.544,-0.336,1.433,0.004,0.005,17253.0,5628.0,1.0
"c[Russia, 2018, pos]",0.487,0.545,-0.422,1.373,0.004,0.005,17137.0,5684.0,1.0
"c[Russia, 2019, pre]",0.882,0.188,0.561,1.179,0.002,0.001,10980.0,6137.0,1.0
"c[Russia, 2019, pan]",0.48,0.529,-0.374,1.344,0.004,0.005,15989.0,5429.0,1.0
"c[Russia, 2019, pos]",0.484,0.536,-0.378,1.37,0.004,0.005,16410.0,5260.0,1.0
"c[Russia, 2020, pre]",0.753,0.399,0.116,1.427,0.004,0.003,10384.0,5841.0,1.0
"c[Russia, 2020, pan]",0.102,0.124,-0.107,0.297,0.001,0.001,12068.0,6973.0,1.0
"c[Russia, 2020, pos]",0.484,0.539,-0.379,1.379,0.004,0.005,16565.0,5559.0,1.0
"c[Russia, 2021, pre]",0.475,0.528,-0.425,1.305,0.004,0.005,16266.0,5208.0,1.0
"c[Russia, 2021, pan]",0.731,0.237,0.363,1.138,0.002,0.001,14583.0,6783.0,1.0
"c[Russia, 2021, pos]",0.633,0.212,0.293,0.988,0.002,0.001,11043.0,6259.0,1.0
"c[Russia, 2022, pre]",0.475,0.532,-0.417,1.324,0.004,0.005,18968.0,6087.0,1.0
"c[Russia, 2022, pan]",0.479,0.535,-0.385,1.36,0.004,0.005,14895.0,5281.0,1.0
"c[Russia, 2022, pos]",-0.175,0.136,-0.389,0.055,0.001,0.001,12316.0,7072.0,1.0
"c[Russia, 2023, pre]",0.485,0.531,-0.386,1.334,0.004,0.005,15700.0,5576.0,1.0
"c[Russia, 2023, pan]",0.49,0.536,-0.428,1.329,0.004,0.005,22114.0,5819.0,1.0
"c[Russia, 2023, pos]",-0.344,0.22,-0.712,0.012,0.002,0.002,13016.0,6406.0,1.0
"c[Japan/Korea, 2017, pre]",0.93,0.226,0.566,1.302,0.002,0.002,10803.0,6527.0,1.0
"c[Japan/Korea, 2017, pan]",0.486,0.524,-0.369,1.331,0.004,0.005,14283.0,5543.0,1.0
"c[Japan/Korea, 2017, pos]",0.486,0.546,-0.391,1.382,0.004,0.005,15669.0,5034.0,1.0
"c[Japan/Korea, 2018, pre]",0.793,0.216,0.446,1.157,0.002,0.002,9397.0,6069.0,1.0
"c[Japan/Korea, 2018, pan]",0.483,0.531,-0.343,1.413,0.004,0.005,16346.0,5466.0,1.0
"c[Japan/Korea, 2018, pos]",0.481,0.528,-0.437,1.287,0.004,0.005,15322.0,5620.0,1.0
"c[Japan/Korea, 2019, pre]",0.358,0.125,0.15,0.553,0.001,0.001,13610.0,6766.0,1.0
"c[Japan/Korea, 2019, pan]",0.485,0.534,-0.376,1.358,0.004,0.005,16923.0,5518.0,1.0
"c[Japan/Korea, 2019, pos]",0.489,0.528,-0.383,1.346,0.004,0.005,15937.0,4990.0,1.0
"c[Japan/Korea, 2020, pre]",0.714,0.337,0.125,1.233,0.003,0.003,9401.0,6710.0,1.0
"c[Japan/Korea, 2020, pan]",0.167,0.106,-0.008,0.341,0.001,0.001,12230.0,6896.0,1.0
"c[Japan/Korea, 2020, pos]",0.485,0.526,-0.356,1.346,0.004,0.005,16351.0,6024.0,1.0
"c[Japan/Korea, 2021, pre]",0.488,0.523,-0.349,1.356,0.004,0.005,17970.0,5745.0,1.0
"c[Japan/Korea, 2021, pan]",0.147,0.131,-0.066,0.363,0.001,0.001,11320.0,6507.0,1.0
"c[Japan/Korea, 2021, pos]",0.157,0.123,-0.038,0.368,0.001,0.001,15054.0,6366.0,1.0
"c[Japan/Korea, 2022, pre]",0.487,0.519,-0.362,1.324,0.004,0.005,15577.0,4987.0,1.0
"c[Japan/Korea, 2022, pan]",0.478,0.521,-0.346,1.365,0.004,0.005,15179.0,5753.0,1.0
"c[Japan/Korea, 2022, pos]",-0.366,0.114,-0.548,-0.178,0.001,0.001,12360.0,6424.0,1.0
"c[Japan/Korea, 2023, pre]",0.485,0.526,-0.387,1.309,0.004,0.005,14689.0,6022.0,1.0
"c[Japan/Korea, 2023, pan]",0.481,0.54,-0.443,1.336,0.004,0.005,18597.0,5176.0,1.0
"c[Japan/Korea, 2023, pos]",-0.074,0.401,-0.754,0.561,0.004,0.004,13014.0,6044.0,1.0
"c[Northern America, 2017, pre]",0.505,0.164,0.227,0.762,0.001,0.001,14894.0,6478.0,1.0
"c[Northern America, 2017, pan]",0.49,0.526,-0.38,1.341,0.004,0.005,15537.0,5295.0,1.0
"c[Northern America, 2017, pos]",0.484,0.53,-0.362,1.357,0.004,0.005,15802.0,5701.0,1.0
"c[Northern America, 2018, pre]",0.356,0.135,0.124,0.568,0.001,0.001,16191.0,6199.0,1.0
"c[Northern America, 2018, pan]",0.49,0.52,-0.325,1.394,0.004,0.005,16383.0,6054.0,1.0
"c[Northern America, 2018, pos]",0.486,0.525,-0.357,1.372,0.004,0.005,16763.0,5835.0,1.0
"c[Northern America, 2019, pre]",0.399,0.133,0.174,0.612,0.001,0.001,16958.0,5855.0,1.0
"c[Northern America, 2019, pan]",0.492,0.544,-0.385,1.412,0.004,0.005,14834.0,5878.0,1.0
"c[Northern America, 2019, pos]",0.486,0.533,-0.376,1.366,0.004,0.005,17648.0,5505.0,1.0
"c[Northern America, 2020, pre]",1.282,0.366,0.668,1.874,0.004,0.003,9608.0,6638.0,1.0
"c[Northern America, 2020, pan]",0.197,0.105,0.029,0.374,0.001,0.001,14445.0,6677.0,1.0
"c[Northern America, 2020, pos]",0.486,0.542,-0.395,1.365,0.004,0.005,16549.0,5916.0,1.0
"c[Northern America, 2021, pre]",0.484,0.526,-0.428,1.308,0.004,0.005,15784.0,5904.0,1.0
"c[Northern America, 2021, pan]",1.02,0.253,0.596,1.427,0.002,0.002,11120.0,6394.0,1.0
"c[Northern America, 2021, pos]",0.299,0.195,-0.016,0.626,0.002,0.001,10654.0,6435.0,1.0
"c[Northern America, 2022, pre]",0.486,0.535,-0.39,1.356,0.004,0.005,15718.0,4621.0,1.0
"c[Northern America, 2022, pan]",0.482,0.53,-0.356,1.383,0.004,0.005,14812.0,4849.0,1.0
"c[Northern America, 2022, pos]",0.09,0.238,-0.291,0.491,0.002,0.003,17240.0,5343.0,1.0
"c[Northern America, 2023, pre]",0.494,0.528,-0.384,1.342,0.004,0.005,16494.0,5097.0,1.0
"c[Northern America, 2023, pan]",0.486,0.539,-0.399,1.391,0.004,0.005,15587.0,5207.0,1.0
"c[Northern America, 2023, pos]",0.572,0.395,-0.042,1.248,0.004,0.003,12667.0,6652.0,1.0
"c[Southern Asia, 2017, pre]",0.513,0.147,0.272,0.753,0.001,0.001,10311.0,5890.0,1.0
"c[Southern Asia, 2017, pan]",0.48,0.529,-0.394,1.33,0.004,0.005,15826.0,6188.0,1.0
"c[Southern Asia, 2017, pos]",0.484,0.53,-0.387,1.349,0.004,0.005,15009.0,5453.0,1.0
"c[Southern Asia, 2018, pre]",0.437,0.141,0.199,0.662,0.001,0.001,11355.0,6542.0,1.0
"c[Southern Asia, 2018, pan]",0.489,0.535,-0.398,1.347,0.004,0.005,18082.0,6248.0,1.0
"c[Southern Asia, 2018, pos]",0.481,0.546,-0.402,1.364,0.004,0.005,16115.0,5671.0,1.0
"c[Southern Asia, 2019, pre]",0.266,0.108,0.086,0.439,0.001,0.001,16201.0,5795.0,1.0
"c[Southern Asia, 2019, pan]",0.492,0.535,-0.327,1.406,0.004,0.005,15780.0,5685.0,1.0
"c[Southern Asia, 2019, pos]",0.485,0.54,-0.385,1.372,0.004,0.005,15352.0,5042.0,1.0
"c[Southern Asia, 2020, pre]",0.483,0.541,-0.405,1.381,0.004,0.005,15832.0,5495.0,1.0
"c[Southern Asia, 2020, pan]",0.873,0.106,0.701,1.045,0.001,0.001,14682.0,6837.0,1.0
"c[Southern Asia, 2020, pos]",0.49,0.528,-0.388,1.343,0.004,0.005,17106.0,5272.0,1.0
"c[Southern Asia, 2021, pre]",0.486,0.534,-0.365,1.392,0.004,0.005,16912.0,5211.0,1.0
"c[Southern Asia, 2021, pan]",1.54,0.279,1.112,2.031,0.003,0.002,9847.0,6566.0,1.0
"c[Southern Asia, 2021, pos]",1.564,0.191,1.232,1.86,0.002,0.001,10411.0,6584.0,1.0
"c[Southern Asia, 2022, pre]",0.481,0.526,-0.364,1.359,0.004,0.005,16096.0,5338.0,1.0
"c[Southern Asia, 2022, pan]",0.495,0.532,-0.4,1.335,0.004,0.005,15834.0,5519.0,1.0
"c[Southern Asia, 2022, pos]",1.495,0.235,1.116,1.891,0.002,0.001,13274.0,5475.0,1.0
"c[Southern Asia, 2023, pre]",0.487,0.539,-0.488,1.285,0.004,0.005,18396.0,5728.0,1.0
"c[Southern Asia, 2023, pan]",0.483,0.528,-0.377,1.354,0.004,0.005,16503.0,5576.0,1.0
"c[Southern Asia, 2023, pos]",0.604,0.251,0.189,1.002,0.002,0.002,10203.0,6565.0,1.0
"c[Europe, 2017, pre]",0.686,0.222,0.295,1.031,0.002,0.001,14595.0,6586.0,1.0
"c[Europe, 2017, pan]",0.493,0.546,-0.389,1.387,0.004,0.005,15960.0,5678.0,1.0
"c[Europe, 2017, pos]",0.484,0.529,-0.412,1.313,0.004,0.005,16457.0,5846.0,1.0
"c[Europe, 2018, pre]",0.664,0.201,0.326,0.98,0.002,0.001,11848.0,6855.0,1.0
"c[Europe, 2018, pan]",0.487,0.533,-0.355,1.398,0.004,0.005,16424.0,5749.0,1.0
"c[Europe, 2018, pos]",0.49,0.522,-0.343,1.367,0.004,0.005,16759.0,5492.0,1.0
"c[Europe, 2019, pre]",0.598,0.143,0.364,0.83,0.001,0.001,15318.0,6043.0,1.0
"c[Europe, 2019, pan]",0.484,0.525,-0.386,1.331,0.004,0.005,15351.0,4991.0,1.0
"c[Europe, 2019, pos]",0.482,0.532,-0.417,1.328,0.004,0.005,17175.0,5766.0,1.0
"c[Europe, 2020, pre]",1.309,0.399,0.617,1.933,0.004,0.003,8690.0,6581.0,1.0
"c[Europe, 2020, pan]",0.438,0.124,0.23,0.635,0.001,0.001,11696.0,6049.0,1.0
"c[Europe, 2020, pos]",0.485,0.53,-0.372,1.356,0.004,0.005,14329.0,5798.0,1.0
"c[Europe, 2021, pre]",0.483,0.534,-0.418,1.344,0.004,0.005,17869.0,5402.0,1.0
"c[Europe, 2021, pan]",0.177,0.218,-0.167,0.546,0.002,0.002,12076.0,6372.0,1.0
"c[Europe, 2021, pos]",0.211,0.187,-0.096,0.523,0.002,0.002,10047.0,5970.0,1.0
"c[Europe, 2022, pre]",0.492,0.516,-0.362,1.334,0.004,0.005,16109.0,5475.0,1.0
"c[Europe, 2022, pan]",0.487,0.536,-0.418,1.332,0.004,0.005,15251.0,4919.0,1.0
"c[Europe, 2022, pos]",-0.309,0.241,-0.716,0.075,0.002,0.002,15749.0,6207.0,1.0
"c[Europe, 2023, pre]",0.485,0.529,-0.363,1.367,0.004,0.005,16386.0,5487.0,1.0
"c[Europe, 2023, pan]",0.485,0.533,-0.422,1.318,0.004,0.005,17059.0,5638.0,1.0
"c[Europe, 2023, pos]",0.527,0.399,-0.147,1.161,0.003,0.003,16178.0,5882.0,1.0
"c[South-eastern Asia, 2017, pre]",1.052,0.269,0.617,1.501,0.003,0.002,10190.0,5853.0,1.0
"c[South-eastern Asia, 2017, pan]",0.494,0.529,-0.391,1.333,0.004,0.005,17233.0,5618.0,1.0
"c[South-eastern Asia, 2017, pos]",0.481,0.54,-0.408,1.348,0.004,0.005,16022.0,5255.0,1.0
"c[South-eastern Asia, 2018, pre]",0.915,0.221,0.556,1.281,0.002,0.002,10682.0,7009.0,1.0
"c[South-eastern Asia, 2018, pan]",0.495,0.532,-0.373,1.365,0.004,0.005,15665.0,5766.0,1.0
"c[South-eastern Asia, 2018, pos]",0.494,0.531,-0.337,1.401,0.004,0.005,15417.0,5693.0,1.0
"c[South-eastern Asia, 2019, pre]",0.431,0.14,0.222,0.68,0.001,0.001,11692.0,6527.0,1.0
"c[South-eastern Asia, 2019, pan]",0.482,0.531,-0.37,1.367,0.004,0.005,15951.0,5889.0,1.0
"c[South-eastern Asia, 2019, pos]",0.492,0.521,-0.378,1.331,0.004,0.005,15320.0,5141.0,1.0
"c[South-eastern Asia, 2020, pre]",0.448,0.271,-0.017,0.872,0.003,0.002,11676.0,6185.0,1.0
"c[South-eastern Asia, 2020, pan]",0.04,0.096,-0.121,0.196,0.001,0.001,12430.0,6536.0,1.0
"c[South-eastern Asia, 2020, pos]",0.48,0.54,-0.383,1.383,0.004,0.005,17004.0,5669.0,1.0
"c[South-eastern Asia, 2021, pre]",0.487,0.529,-0.39,1.337,0.004,0.005,16194.0,5761.0,1.0
"c[South-eastern Asia, 2021, pan]",0.175,0.112,-0.011,0.353,0.001,0.001,13600.0,6104.0,1.0
"c[South-eastern Asia, 2021, pos]",0.77,0.115,0.587,0.965,0.001,0.001,14369.0,5782.0,1.0
"c[South-eastern Asia, 2022, pre]",0.491,0.529,-0.358,1.392,0.004,0.005,16598.0,5364.0,1.0
"c[South-eastern Asia, 2022, pan]",0.487,0.535,-0.388,1.35,0.004,0.005,17573.0,5511.0,1.0
"c[South-eastern Asia, 2022, pos]",-0.272,0.141,-0.502,-0.039,0.001,0.001,11379.0,6682.0,1.0
"c[South-eastern Asia, 2023, pre]",0.492,0.534,-0.374,1.377,0.004,0.005,15239.0,5497.0,1.0
"c[South-eastern Asia, 2023, pan]",0.485,0.535,-0.435,1.321,0.004,0.005,16451.0,5290.0,1.0
"c[South-eastern Asia, 2023, pos]",0.309,0.502,-0.527,1.116,0.004,0.005,16495.0,5295.0,1.0
"c[Africa, 2017, pre]",0.378,0.251,-0.028,0.797,0.002,0.002,11146.0,6477.0,1.0
"c[Africa, 2017, pan]",0.484,0.536,-0.415,1.332,0.004,0.005,16290.0,5208.0,1.0
"c[Africa, 2017, pos]",0.485,0.527,-0.374,1.361,0.004,0.005,17426.0,5668.0,1.0
"c[Africa, 2018, pre]",0.106,0.176,-0.175,0.411,0.001,0.002,16263.0,5504.0,1.0
"c[Africa, 2018, pan]",0.484,0.527,-0.399,1.323,0.004,0.006,15448.0,5032.0,1.0
"c[Africa, 2018, pos]",0.486,0.536,-0.364,1.389,0.004,0.005,16230.0,5400.0,1.0
"c[Africa, 2019, pre]",-0.302,0.172,-0.574,-0.014,0.002,0.001,12029.0,6617.0,1.0
"c[Africa, 2019, pan]",0.491,0.534,-0.372,1.372,0.004,0.005,16964.0,5666.0,1.0
"c[Africa, 2019, pos]",0.488,0.518,-0.376,1.333,0.004,0.005,15739.0,6013.0,1.0
"c[Africa, 2020, pre]",1.178,0.403,0.493,1.81,0.004,0.003,9428.0,6451.0,1.0
"c[Africa, 2020, pan]",0.91,0.125,0.706,1.116,0.001,0.001,16947.0,6139.0,1.0
"c[Africa, 2020, pos]",0.479,0.532,-0.413,1.338,0.004,0.005,17999.0,5727.0,1.0
"c[Africa, 2021, pre]",0.485,0.528,-0.404,1.349,0.004,0.005,17157.0,5354.0,1.0
"c[Africa, 2021, pan]",1.215,0.302,0.73,1.721,0.002,0.002,15172.0,5794.0,1.0
"c[Africa, 2021, pos]",1.332,0.269,0.892,1.775,0.003,0.002,11059.0,5278.0,1.0
"c[Africa, 2022, pre]",0.487,0.528,-0.385,1.343,0.004,0.005,18246.0,5581.0,1.0
"c[Africa, 2022, pan]",0.486,0.541,-0.385,1.411,0.004,0.005,15581.0,5731.0,1.0
"c[Africa, 2022, pos]",-0.031,0.222,-0.386,0.337,0.002,0.002,12337.0,6633.0,1.0
"c[Africa, 2023, pre]",0.484,0.528,-0.33,1.395,0.004,0.005,15810.0,5272.0,1.0
"c[Africa, 2023, pan]",0.485,0.533,-0.365,1.391,0.004,0.005,17585.0,5551.0,1.0
"c[Africa, 2023, pos]",0.484,0.25,0.036,0.865,0.002,0.002,17334.0,5870.0,1.0
"c[Southern America, 2017, pre]",0.87,0.159,0.621,1.14,0.001,0.001,14925.0,6561.0,1.0
"c[Southern America, 2017, pan]",0.49,0.525,-0.401,1.313,0.004,0.005,15234.0,5813.0,1.0
"c[Southern America, 2017, pos]",0.492,0.523,-0.381,1.336,0.004,0.005,15814.0,5421.0,1.0
"c[Southern America, 2018, pre]",0.52,0.16,0.264,0.796,0.002,0.001,10433.0,6415.0,1.0
"c[Southern America, 2018, pan]",0.494,0.54,-0.409,1.369,0.005,0.005,12313.0,5322.0,1.0
"c[Southern America, 2018, pos]",0.49,0.521,-0.382,1.318,0.004,0.005,14521.0,6098.0,1.0
"c[Southern America, 2019, pre]",0.186,0.107,0.01,0.361,0.001,0.001,17313.0,5510.0,1.0
"c[Southern America, 2019, pan]",0.491,0.526,-0.345,1.371,0.004,0.005,18095.0,5264.0,1.0
"c[Southern America, 2019, pos]",0.481,0.543,-0.427,1.362,0.004,0.005,16873.0,5905.0,1.0
"c[Southern America, 2020, pre]",0.879,0.286,0.41,1.336,0.003,0.002,9082.0,5951.0,1.0
"c[Southern America, 2020, pan]",0.305,0.116,0.109,0.49,0.001,0.001,13795.0,6572.0,1.0
"c[Southern America, 2020, pos]",0.486,0.534,-0.361,1.383,0.004,0.005,16160.0,5705.0,1.0
"c[Southern America, 2021, pre]",0.491,0.526,-0.378,1.353,0.004,0.005,15383.0,5597.0,1.0
"c[Southern America, 2021, pan]",0.692,0.305,0.196,1.194,0.003,0.002,10995.0,6768.0,1.0
"c[Southern America, 2021, pos]",0.796,0.256,0.383,1.232,0.002,0.002,11339.0,6279.0,1.0
"c[Southern America, 2022, pre]",0.485,0.537,-0.412,1.35,0.004,0.005,14392.0,5285.0,1.0
"c[Southern America, 2022, pan]",0.482,0.536,-0.393,1.366,0.004,0.005,15873.0,4685.0,1.0
"c[Southern America, 2022, pos]",0.247,0.234,-0.145,0.624,0.002,0.002,14881.0,6231.0,1.0
"c[Southern America, 2023, pre]",0.486,0.54,-0.39,1.38,0.004,0.005,16194.0,5406.0,1.0
"c[Southern America, 2023, pan]",0.479,0.539,-0.448,1.301,0.004,0.005,16740.0,4885.0,1.0
"c[Southern America, 2023, pos]",-0.298,0.325,-0.826,0.251,0.004,0.003,7622.0,6355.0,1.0
mu[0],-0.823,0.175,-1.119,-0.54,0.001,0.001,14223.0,5809.0,1.0
mu[1],-0.62,0.14,-0.858,-0.403,0.001,0.001,9699.0,5986.0,1.0
mu[2],-0.995,0.153,-1.247,-0.748,0.001,0.001,10634.0,5406.0,1.0
mu[3],-0.873,0.168,-1.141,-0.587,0.001,0.001,14237.0,5775.0,1.0
mu[4],-0.642,0.126,-0.846,-0.43,0.001,0.001,11935.0,5439.0,1.0
mu[5],-0.65,0.144,-0.9,-0.426,0.001,0.001,16706.0,5986.0,1.0
mu[6],-0.52,0.114,-0.705,-0.333,0.001,0.001,9339.0,6295.0,1.0
mu[7],-0.839,0.157,-1.102,-0.588,0.001,0.001,13751.0,6290.0,1.0
mu[8],-0.486,0.144,-0.734,-0.261,0.001,0.001,9480.0,6240.0,1.0
mu[9],-0.263,0.188,-0.559,0.051,0.002,0.001,14751.0,5661.0,1.0
mu[10],-0.064,0.191,-0.377,0.245,0.002,0.002,11105.0,5151.0,1.0
mu[11],-0.895,0.137,-1.125,-0.674,0.001,0.001,14690.0,6858.0,1.0
mu[12],-0.807,0.158,-1.057,-0.54,0.002,0.001,9529.0,5501.0,1.0
mu[13],-1.168,0.183,-1.482,-0.883,0.002,0.001,10765.0,6326.0,1.0
mu[14],-0.958,0.206,-1.307,-0.626,0.002,0.001,14811.0,6378.0,1.0
mu[15],-0.821,0.146,-1.057,-0.572,0.001,0.001,11780.0,5065.0,1.0
mu[16],-0.778,0.182,-1.094,-0.497,0.001,0.001,16392.0,6366.0,1.0
mu[17],-0.547,0.119,-0.737,-0.348,0.001,0.001,9429.0,6401.0,1.0
mu[18],-0.978,0.197,-1.309,-0.661,0.002,0.001,13932.0,6228.0,1.0
mu[19],-0.666,0.146,-0.9,-0.417,0.002,0.001,8959.0,5532.0,1.0
mu[20],-0.283,0.193,-0.586,0.04,0.002,0.001,14734.0,5598.0,1.0
mu[21],-0.06,0.189,-0.369,0.247,0.002,0.002,11111.0,5098.0,1.0
mu[22],-0.962,0.148,-1.21,-0.722,0.001,0.001,14776.0,7018.0,1.0
mu[23],-0.765,0.152,-1.023,-0.526,0.002,0.001,9536.0,5408.0,1.0
mu[24],-1.067,0.164,-1.338,-0.801,0.002,0.001,10674.0,6058.0,1.0
mu[25],-0.95,0.203,-1.298,-0.63,0.002,0.001,14765.0,6346.0,1.0
mu[26],-0.714,0.133,-0.942,-0.503,0.001,0.001,11885.0,5139.0,1.0
mu[27],-0.791,0.186,-1.108,-0.498,0.001,0.001,16364.0,6393.0,1.0
mu[28],-0.575,0.124,-0.776,-0.368,0.001,0.001,9527.0,6472.0,1.0
mu[29],-0.947,0.188,-1.265,-0.647,0.002,0.001,13890.0,6334.0,1.0
mu[30],-0.773,0.116,-0.963,-0.578,0.001,0.001,14456.0,6791.0,1.0
mu[31],-0.624,0.13,-0.838,-0.408,0.001,0.001,14185.0,6130.0,1.0
mu[32],-0.592,0.194,-0.911,-0.272,0.002,0.001,9565.0,6479.0,1.0
mu[33],-0.8,0.135,-1.02,-0.582,0.001,0.001,12947.0,5999.0,1.0
mu[34],-0.131,0.114,-0.309,0.066,0.001,0.001,10861.0,6121.0,1.0
mu[35],-0.778,0.209,-1.117,-0.431,0.002,0.001,15781.0,6331.0,1.0
mu[36],-0.674,0.141,-0.905,-0.444,0.001,0.001,9584.0,5452.0,1.0
mu[37],-0.744,0.126,-0.941,-0.535,0.001,0.001,10712.0,5787.0,1.0
mu[38],-0.421,0.089,-0.569,-0.279,0.001,0.001,15799.0,6439.0,1.0
mu[39],-0.77,0.149,-1.006,-0.515,0.001,0.001,11979.0,5215.0,1.0
mu[40],-0.383,0.082,-0.513,-0.244,0.001,0.0,16461.0,5766.0,1.0
mu[41],-0.666,0.184,-0.974,-0.371,0.002,0.001,9382.0,5732.0,1.0
mu[42],-0.544,0.104,-0.716,-0.372,0.001,0.001,12758.0,6237.0,1.0
mu[43],-0.904,0.196,-1.213,-0.566,0.002,0.001,8949.0,5449.0,1.0
mu[44],-0.734,0.155,-0.992,-0.481,0.001,0.001,14046.0,6211.0,1.0
mu[45],-0.069,0.078,-0.202,0.055,0.001,0.001,10638.0,6117.0,1.0
mu[46],-0.556,0.173,-0.834,-0.265,0.001,0.001,15586.0,6290.0,1.0
mu[47],-0.604,0.137,-0.836,-0.391,0.001,0.001,9702.0,5998.0,1.0
mu[48],-0.674,0.147,-0.908,-0.423,0.002,0.001,8955.0,5547.0,1.0
mu[49],-0.648,0.125,-0.853,-0.445,0.001,0.001,10970.0,6536.0,1.0
mu[50],-0.68,0.143,-0.909,-0.438,0.001,0.001,11955.0,5836.0,1.0
mu[51],-0.312,0.066,-0.417,-0.199,0.001,0.0,15968.0,5454.0,1.0
mu[52],-0.577,0.181,-0.887,-0.291,0.002,0.001,9642.0,6410.0,1.0
mu[53],-0.527,0.104,-0.703,-0.359,0.001,0.001,12849.0,6409.0,1.0
mu[54],-0.665,0.192,-0.988,-0.357,0.002,0.001,9491.0,6013.0,1.0
mu[55],-0.557,0.115,-0.747,-0.364,0.001,0.001,14302.0,6008.0,1.0
