"virus","tree_id","season","tmrca"
"by",17,"S_Hemisphere_2015.5",2012.14167143017
"by",17,"S_Hemisphere_2020.5",2016.65814405891
"by",17,"N_Hemisphere_2019",2016.19471174325
"by",17,"S_Hemisphere_2016.5",2004.37430395232
"by",17,"N_Hemisphere_2020",2016.65814405891
"by",17,"S_Hemisphere_2017.5",2014.19621033734
"by",17,"N_Hemisphere_2018",2013.63452309011
"by",17,"S_Hemisphere_2018.5",2014.22106797141
"by",18,"N_Hemisphere_2012",2007.13282521663
"by",18,"N_Hemisphere_2013",2007.13282521663
"by",18,"N_Hemisphere_2011",2007.13282521663
"by",18,"N_Hemisphere_2014",2007.13282521663
"by",18,"N_Hemisphere_2015",2007.13282521663
"by",18,"S_Hemisphere_2012.5",2007.13282521663
"by",18,"S_Hemisphere_2013.5",2007.13282521663
"by",18,"S_Hemisphere_2014.5",2007.13282521663
"by",18,"N_Hemisphere_2016",2012.04984502017
"by",18,"N_Hemisphere_2017",2012.04984502017
"by",18,"S_Hemisphere_2011.5",2007.13282521663
"by",18,"S_Hemisphere_2019.5",2016.70301600362
"by",18,"S_Hemisphere_2015.5",2012.04984502017
"by",18,"S_Hemisphere_2020.5",2016.70301600362
"by",18,"N_Hemisphere_2019",2015.9533372676
"by",18,"S_Hemisphere_2016.5",2007.13282521663
"by",18,"N_Hemisphere_2020",2016.70301600362
"by",18,"S_Hemisphere_2017.5",2014.04756275244
"by",18,"N_Hemisphere_2018",2013.77089567374
"by",18,"S_Hemisphere_2018.5",2014.22267487849
"by",19,"N_Hemisphere_2012",2005.01314598241
"by",19,"N_Hemisphere_2013",2005.01314598241
"by",19,"N_Hemisphere_2011",2005.01314598241
"by",19,"N_Hemisphere_2014",2005.01314598241
"by",19,"N_Hemisphere_2015",2005.01314598241
"by",19,"S_Hemisphere_2012.5",2005.01314598241
"by",19,"S_Hemisphere_2013.5",2005.01314598241
"by",19,"S_Hemisphere_2014.5",2005.01314598241
"by",19,"N_Hemisphere_2016",2011.91411184798
"by",19,"N_Hemisphere_2017",2011.91411184798
"by",19,"S_Hemisphere_2011.5",2005.01314598241
"by",19,"S_Hemisphere_2019.5",2016.69148076354
"by",19,"S_Hemisphere_2015.5",2011.91411184798
"by",19,"S_Hemisphere_2020.5",2016.69148076354
"by",19,"N_Hemisphere_2019",2016.24392791753
"by",19,"S_Hemisphere_2016.5",2005.01314598241
"by",19,"N_Hemisphere_2020",2016.69148076354
"by",19,"S_Hemisphere_2017.5",2014.15827300611
"by",19,"N_Hemisphere_2018",2013.65263260905
"by",19,"S_Hemisphere_2018.5",2014.15827300611
"by",20,"N_Hemisphere_2012",2005.62317119498
"by",20,"N_Hemisphere_2013",2005.62317119498
"by",20,"N_Hemisphere_2011",2005.62317119498
"by",20,"N_Hemisphere_2014",2005.62317119498
"by",20,"N_Hemisphere_2015",2005.62317119498
"by",20,"S_Hemisphere_2012.5",2005.62317119498
"by",20,"S_Hemisphere_2013.5",2005.62317119498
"by",20,"S_Hemisphere_2014.5",2005.62317119498
"by",20,"N_Hemisphere_2016",2011.98441657325
"by",20,"N_Hemisphere_2017",2011.98441657325
"by",20,"S_Hemisphere_2011.5",2005.62317119498
"by",20,"S_Hemisphere_2019.5",2016.61015149421
"by",20,"S_Hemisphere_2015.5",2011.98441657325
"by",20,"S_Hemisphere_2020.5",2016.61015149421
"by",20,"N_Hemisphere_2019",2015.92003500799
"by",20,"S_Hemisphere_2016.5",2005.62317119498
"by",20,"N_Hemisphere_2020",2016.61015149421
"by",20,"S_Hemisphere_2017.5",2014.19304574225
"by",20,"N_Hemisphere_2018",2013.66709026637
"by",20,"S_Hemisphere_2018.5",2014.19304574225
"by",21,"N_Hemisphere_2012",2006.74453516263
"by",21,"N_Hemisphere_2013",2006.74453516263
"by",21,"N_Hemisphere_2011",2006.74453516263
"by",21,"N_Hemisphere_2014",2006.74453516263
"by",21,"N_Hemisphere_2015",2006.74453516263
"by",21,"S_Hemisphere_2012.5",2006.74453516263
"by",21,"S_Hemisphere_2013.5",2006.74453516263
"by",21,"S_Hemisphere_2014.5",2006.74453516263
"by",21,"N_Hemisphere_2016",2011.95957543984
"by",21,"N_Hemisphere_2017",2011.95957543984
"by",21,"S_Hemisphere_2011.5",2006.74453516263
"by",21,"S_Hemisphere_2019.5",2016.61890843931
"by",21,"S_Hemisphere_2015.5",2011.95957543984
